Peito de cabrito estufado sem molho,Carne e Derivados Criação e Caça,646.0 kJ,153.0 kcal,4.4 g,0.0 g,500.0 mg,28.4 g,83.0 mg
Peito de cabrito grelhado,Carne e Derivados Criação e Caça,606.0 kJ,144.0 kcal,4.2 g,0.0 g,480.0 mg,26.5 g,74.0 mg
Perna de cabrito crua,Carne e Derivados Criação e Caça,476.0 kJ,113.0 kcal,4.0 g,0.0 g,190.0 mg,19.3 g,60.0 mg
Perna de cabrito assada com azeite e margarina,Carne e Derivados Criação e Caça,751.0 kJ,180.0 kcal,10.0 g,0.2 g,1150.0 mg,21.7 g,67.0 mg
Perna de cabrito assada com óleo alimentar e margarina,Carne e Derivados Criação e Caça,751.0 kJ,180.0 kcal,10.0 g,0.2 g,1150.0 mg,21.7 g,67.0 mg
Perna de cabrito assada sem molho,Carne e Derivados Criação e Caça,568.0 kJ,135.0 kcal,4.2 g,0.0 g,850.0 mg,24.3 g,80.0 mg
Caldeirada de cabrito com azeite e banha,Carne e Derivados Criação e Caça,496.0 kJ,118.0 kcal,4.2 g,8.3 g,820.0 mg,11.3 g,31.0 mg
Caldeirada de cabrito com azeite e margarina,Carne e Derivados Criação e Caça,488.0 kJ,116.0 kcal,4.0 g,8.3 g,850.0 mg,11.3 g,30.0 mg
Costeleta de carneiro crua,Carne e Derivados Criação e Caça,631.0 kJ,151.0 kcal,7.5 g,0.0 g,220.0 mg,20.8 g,66.0 mg
Costeleta ou perna de carneiro magra frita com margarina sem molho,Carne e Derivados Criação e Caça,731.0 kJ,174.0 kcal,8.4 g,0.0 g,580.0 mg,24.7 g,87.0 mg
Pá de carneiro crua,Carne e Derivados Criação e Caça,815.0 kJ,195.0 kcal,12.6 g,0.0 g,160.0 mg,20.5 g,68.0 mg
Pá de carneiro assada com azeite e margarina,Carne e Derivados Criação e Caça,1320.0 kJ,319.0 kcal,24.6 g,0.0 g,1400.0 mg,24.3 g,81.0 mg
Pá de carneiro assada com margarina,Carne e Derivados Criação e Caça,1290.0 kJ,310.0 kcal,23.6 g,0.0 g,1580.0 mg,24.3 g,81.0 mg
Pá de carneiro assada sem molho,Carne e Derivados Criação e Caça,845.0 kJ,202.0 kcal,11.3 g,0.0 g,420.0 mg,25.1 g,88.0 mg
Pá de carneiro cozida,Carne e Derivados Criação e Caça,995.0 kJ,238.0 kcal,14.2 g,0.0 g,420.0 mg,27.6 g,91.0 mg
Pá de carneiro estufada sem molho,Carne e Derivados Criação e Caça,995.0 kJ,238.0 kcal,14.2 g,0.0 g,580.0 mg,27.6 g,99.0 mg
Peito de carneiro gordo cru,Carne e Derivados Criação e Caça,1640.0 kJ,396.0 kcal,36.5 g,0.0 g,280.0 mg,16.8 g,94.0 mg
Peito de carneiro gordo cozido,Carne e Derivados Criação e Caça,1380.0 kJ,333.0 kcal,26.6 g,0.0 g,520.0 mg,23.3 g,130.0 mg
Perna de carneiro gorda crua,Carne e Derivados Criação e Caça,1150.0 kJ,276.0 kcal,22.2 g,0.0 g,150.0 mg,19.1 g,86.0 mg
Perna de carneiro gorda assada sem molho,Carne e Derivados Criação e Caça,1190.0 kJ,285.0 kcal,20.9 g,0.0 g,420.0 mg,24.3 g,115.0 mg
Perna de carneiro gorda estufada sem molho,Carne e Derivados Criação e Caça,1410.0 kJ,339.0 kcal,25.9 g,0.0 g,580.0 mg,26.5 g,110.0 mg
Perna de carneiro magra crua,Carne e Derivados Criação e Caça,544.0 kJ,130.0 kcal,5.6 g,0.0 g,280.0 mg,19.8 g,68.0 mg
Perna de carneiro magra assada com azeite e margarina,Carne e Derivados Criação e Caça,1010.0 kJ,242.0 kcal,16.4 g,0.0 g,1520.0 mg,23.5 g,81.0 mg
Perna de carneiro magra assada com margarina,Carne e Derivados Criação e Caça,966.0 kJ,232.0 kcal,15.3 g,0.0 g,1680.0 mg,23.5 g,81.0 mg
Perna de carneiro magra assada sem molho,Carne e Derivados Criação e Caça,744.0 kJ,178.0 kcal,9.0 g,0.0 g,550.0 mg,24.2 g,88.0 mg
Perna de carneiro magra estufada com azeite e margarina,Carne e Derivados Criação e Caça,837.0 kJ,201.0 kcal,13.4 g,1.7 g,1050.0 mg,17.4 g,59.0 mg
Perna de carneiro magra estufada com margarina,Carne e Derivados Criação e Caça,804.0 kJ,193.0 kcal,12.5 g,1.7 g,1200.0 mg,17.4 g,59.0 mg
Perna de carneiro magra estufada sem molho,Carne e Derivados Criação e Caça,816.0 kJ,195.0 kcal,10.3 g,0.0 g,650.0 mg,25.6 g,96.0 mg
Bife de cavalo alcatra crua,Carne e Derivados Criação e Caça,488.0 kJ,116.0 kcal,3.5 g,0.0 g,130.0 mg,21.1 g,54.0 mg
Bife de cavalo alcatra frita com manteiga,Carne e Derivados Criação e Caça,740.0 kJ,177.0 kcal,9.3 g,0.0 g,1020.0 mg,23.3 g,75.0 mg
Bife de cavalo alcatra frita com margarina,Carne e Derivados Criação e Caça,736.0 kJ,176.0 kcal,9.2 g,0.0 g,1100.0 mg,23.3 g,60.0 mg
Bife de cavalo alcatra frita sem molho,Carne e Derivados Criação e Caça,620.0 kJ,147.0 kcal,5.4 g,0.0 g,550.0 mg,24.7 g,67.0 mg
Lombo ou pá de cavalo cru,Carne e Derivados Criação e Caça,418.0 kJ,99.0 kcal,2.3 g,0.0 g,120.0 mg,19.6 g,52.0 mg
Lombo ou pá de cavalo assado com azeite e manteiga,Carne e Derivados Criação e Caça,701.0 kJ,167.0 kcal,8.0 g,0.1 g,1100.0 mg,22.7 g,66.0 mg
Lombo ou pá de cavalo assado com margarina,Carne e Derivados Criação e Caça,675.0 kJ,161.0 kcal,7.3 g,0.1 g,1220.0 mg,22.7 g,60.0 mg
Lombo ou pá de cavalo assado sem molho,Carne e Derivados Criação e Caça,570.0 kJ,136.0 kcal,4.3 g,0.0 g,620.0 mg,24.2 g,58.0 mg
Lombo ou pá de cavalo frito com manteiga,Carne e Derivados Criação e Caça,663.0 kJ,158.0 kcal,8.0 g,0.0 g,1000.0 mg,21.6 g,73.0 mg
Lombo ou pá de cavalo frito com margarina,Carne e Derivados Criação e Caça,656.0 kJ,157.0 kcal,7.8 g,0.0 g,1080.0 mg,21.6 g,58.0 mg
